Clubs (138),89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Clubs (138)
Colchester United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 16,3. 10,3. 22,3. 23,3. 24,3. 12,3. 3,3. 12,3. 5,3. 9,3. 23,4. 2,3. 12,3. 17,3. 23,4. 4,3. 13,3. 22,4. 6,4. 10,4. 6,4. 11,4. 22,4. 3,3. 11,3. 22,4. 3,3. 8,3. 7,3. 5,3. 22,4. 6,4. 6,4. 8,4. 7,4. 6,4. 5,4. 9,4. 22,4. 24,,,4. 10,4. 17,4. 10,4. 7,4. 8,4. 4,3. 18,3. 18,3. 17,3. 15,3. 12,3. 11,3. 15,3. 2,2. 10,2. 24,3. 12,3. 8,3. 10,3. 10,3. 20,3. 16,3. 19,4. L1,Colchester United
Workington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. 24,3. 23,3. 20,3. 8,3. 10,3. 4,3. 19,4. 17,4. 16,4. 8,4. 8,4. 10,4. 3,3. 15,3. 5,3. 24,4. 23,4. 12,4. 20,4. 10,4. 6,4. 13,4. 23,4. 23,4. 24,4. 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Workington
Peterborough United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. 1,3. 5,3. 6,3. 10,3. 8,3. 13,3. 15,3. 24,4. 18,4. 9,4. 16,4. 8,4. 19,4. 1,3. 7,3. 10,3. 16,3. 4,3. 21,4. 8,4. 5,4. 5,4. 9,4. 7,4. 11,4. 17,4. 10,4. 7,4. 17,4. 9,4. 4,3. 6,2. 10,2. 24,3. 15,3. 19,3. 21,4. 10,4. 9,4. 5,3. 12,3. 17,3. 11,3. 18,3. 23,4. 9,4. 10,4. 2,3. 2,2. 24,3. 4,2. 18,2. 22,3. 6,3. 9,4. L1,Peterborough United
Oxford United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. 18,4. 18,4. 4,3. 14,3. 16,3. 1,2. 20,2. 15,2. 14,2. 15,2. 8,2. 18,2. 11,2. 20,3. 17,3. 18,3. 11,3. 17,3. 14,3. 5,3. 5,3. 1,2. 1,1. 18,1. 18,1. 21,2. 17,2. 17,2. 10,2. 21,2. 14,2. 23,3. 7,3. 2,2. 17,2. 12,2. 23,3. 20,3. 24,4. 21,4. 8,4. 9,4. 15,4. 23,,,,,4. 12,4. 9,4. 9,4. 8,4. 13,4. L2,Oxford United
Cambridge United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. 20,4. 10,4. 3,4. 21,4. 6,4. 13,4. 1,3. 2,2. 12,2. 8,2. 13,2. 14,2. 12,2. 22,3. 24,4. 22,4. 11,4. 15,4. 8,4. 6,3. 1,2. 5,2. 23,3. 10,3. 20,4. 16,4. 10,4. 16,4. 2,3. 19,3. 19,3. 24,4. 12,4. 13,4. 24,,,,,,,,,,4. 19,4. L2,Cambridge United
Hereford United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. 2,3. 18,3. 12,3. 1,2. 22,3. 23,4. 14,4. 21,4. 22,4. 10,4. 24,4. 11,4. 5,4. 10,4. 16,4. 19,4. 15,4. 17,4. 17,4. 17,4. 17,4. 20,4. 16,4. 6,4. 24,,,,,,,,,,4. 16,4. 3,3. 24,4. 16,4. 21,4. 23,,,,,Hereford United
Wimbledon (2004-05 MK Dons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. 13,4. 3,3. 24,4. 4,3. 21,4. 1,3. 2,2. 12,2. 3,1. 6,1. 7,1. 12,1. 8,1. 7,1. 13,1. 12,1. 6,1. 9,1. 14,1. 8,1. 15,1. 16,1. 18,2. 8,2. 9,2. 10,2. 24,3. 20,3. 22,4. 4,4. 1,3. 3,3. 12,3. 5,3. 5,3. 8,3. 10,3. 2,4. CH,Milton Keynes Dons
Wigan Athletic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. 6,4. 6,4. 11,4. 3,3. 18,3. 15,3. 16,3. 4,3. 4,3. 7,3. 17,3. 18,3. 10,3. 15,3. 23,4. 19,4. 14,4. 10,4. 1,3. 11,3. 6,3. 4,3. 6,3. 10,3. 1,2. 7,2. 2,1. 10,1. 17,1. 14,1. 11,1. 16,1. 16,1. 15,1. 18,2. 5,2. 23,4. L1,Wigan Athletic
Scarborough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. 12,4. 5,4. 18,4. 9,4. 12,4. 13,4. 14,4. 21,4. 23,4. 12,4. 6,4. 24,,,,,,,,,,,,,,,,,,Scarborough
,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEASON,,,,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Season
CLUBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Clubs
Maidstone United,,,,,,RED FOOTBALL LEAGUE 1888-89 TO 1891-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. 5,4. 19,4. 18,,,,,,,,,,,,,,,,,,,,,,,,,Maidstone United
Barnet,,,,,,,,,DIVISION ONE,,,,,,,,1892-93 TO 1991-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. 7,4. 3,3. 24,4. 11,4. 9,4. 15,4. 7,4. 16,4. 6,4. 24,,,,,4. 18,4. 14,4. 12,4. 17,4. 21,4. 22,4. 22,4. 23,,,4. L2,Barnet
Wycombe Wanderers,,,,,,,,,PREMIER LEAGUE,,,,,,,,1992-93 ONWARDS,,,,,,,,,,,,,1. 1,Top Flight Champions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. 4,3. 6,3. 12,3. 18,3. 14,3. 19,3. 12,3. 13,3. 11,3. 18,3. 24,4. 10,4. 6,4. 12,4. 7,4. 3,3. 22,4. 3,3. 21,4. 15,4. 22,4. 4,4. L2,Wycombe Wanderers
Macclesfield Town,,,,,,GREEN,,,DIVISION TWO,,,,,,,,1892-93 TO 2003-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. 2,3. 24,4. 13,4. 14,4. 13,4. 16,4. 20,4. 5,4. 17,4. 22,4. 19,4. 20,4. 19,4. 15,4. 24,,,,,Macclesfield Town
Cheltenham Town,,,,,,,,,CHAMPIONSHIP,,,,,,,,2004-05 ONWARDS,,,,,,,,,,,,,2. 1,Second Flight Champions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. 8,4. 9,4. 4,3. 21,4. 14,4. 14,4. 5,3. 17,3. 19,3. 23,4. 22,4. 17,4. 6,4. 5,4. 17,4. 23,,Cheltenham Town
Kidderminster Harriers,,,,,,BLUE,,,DIVISION THREE,,,,,,,,1920-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. 16,4. 10,4. 11,4. 16,4. 23,,,,,,,,,,,,Kidderminster Harriers
Rushden & Diamonds,,,,,,,,,DIVISION THREE SOUTH 1921-22 TO 1957-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. 6,4. 1,3. 22,4. 22,4. 24,,,,,,,,,,,Rushden & Diamonds
Boston United,,,,,,,,,DIVISION THREE,,,,,,,,1958-59 TO 1991-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. 15,4. 11,4. 16,4. 11,4. 23,,,,,,,,,,Boston United
Yeovil Town,,,,,,,,,DIVISION TWO,,,,,,,,1992-93 TO 2003-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. 8,4. 1,3. 15,3. 5,3. 18,3. 17,3. 15,3. 14,3. 17,3. 4,2. 24,3. 24,4. L2,Yeovil Town
Dagenham & Redbridge,,,,,,,,,LEAGUE ONE (L1),,,,,,,,2004-05 ONWARDS,,,,,,,,,,,,,3. 1,Third Flight (& 3 South) Champions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. 20,4. 8,4. 7,3. 21,4. 19,4. 22,4. 9,4. 14,4. L2,Dagenham & Redbridge
Morecambe,,,,,,PLUM DIVISION THREE NORTH 1921-22 TO 1957-58,,,,,,,,,,,,,,,,,,,,,,,,3. 1,Third (North) Flight Champions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. 11,4. 11,4. 4,4. 20,4. 15,4. 16,4. 18,4. 11,4. L2,Morecambe
Burton Albion,,,,,,BLACK,,,DIVISION FOUR,,,,,,,,1958-59 TO 1991-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. 13,4. 19,4. 17,4. 4,4. 6,4. 1,4. L1,Burton Albion
Stevenage Borough,,,,,,,,,DIVISION THREE,,,,,,,,1992-93 TO 2003-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. 6,3. 6,3. 18,3. 24,4. 6,4. L2,Stevenage
Crawley Town,,,,,,,,,LEAGUE TWO (L2),,,,,,,,2004-05 ONWARDS,,,,,,,,,,,,,4. 1,Fourth Flight Champions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. 3,3. 10,3. 14,3. 22,4. L2,Crawley Town
AFC Wimbledon,,,,,,NUMBERS IN BOLD (e.g. 12 ) INDICATE TIED POSITION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. 16,4. 20,4. 20,4. 15,4. L2,AFC Wimbledon
Fleetwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. 13,4. 4,3. 10,4. L1,Fleetwood
Clubs (138),88,89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Clubs (138)
Season,89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Season
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
if supportMisalignedColumns! endif!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
